,iso_country,coords,name,type,municipality,coords_lon,coords_lat,latlong,display_str
56392,AU,"134.8979949951172, -12.356399536132812",Ramingining Airport,small_airport,,134.8979949951172,-12.356399536132812,"[-12.356399536132812, 134.8979949951172]",Ramingining Airport |  | small_airport
56393,AU,"134.96200561523438, -23.82830047607422",Ringwood Airport,small_airport,,134.96200561523438,-23.82830047607422,"[-23.82830047607422, 134.96200561523438]",Ringwood Airport |  | small_airport
56394,AU,"143.7100067138672, -18.844999313354492",Robinhood Airport,small_airport,,143.7100067138672,-18.844999313354492,"[-18.844999313354492, 143.7100067138672]",Robinhood Airport |  | small_airport
56395,AU,"117.156997681, -20.7616996765",Roebourne Airport,small_airport,ROEBOURNE,117.156997681,-20.7616996765,"[-20.7616996765, 117.156997681]",Roebourne Airport | ROEBOURNE | small_airport
56396,AU,"142.7830047607422, -34.650001525878906",Robinvale Airport,small_airport,,142.7830047607422,-34.650001525878906,"[-34.650001525878906, 142.7830047607422]",Robinvale Airport |  | small_airport
56397,AU,"136.72000122070312, -35.93000030517578",Rocky River Airport,small_airport,,136.72000122070312,-35.93000030517578,"[-35.93000030517578, 136.72000122070312]",Rocky River Airport |  | small_airport
56398,AU,"148.774993896, -26.545000076300003",Roma Airport,medium_airport,ROMA,148.774993896,-26.545000076300003,"[-26.545000076300003, 148.774993896]",Roma Airport | ROMA | medium_airport
56399,AU,"116.86699676513672, -29.29170036315918",Rothsay Mine Airport,small_airport,,116.86699676513672,-29.29170036315918,"[-29.29170036315918, 116.86699676513672]",Rothsay Mine Airport |  | small_airport
56400,AU,"134.51699829101562, -23.599199295043945",Ross River Airport,small_airport,,134.51699829101562,-23.599199295043945,"[-23.599199295043945, 134.51699829101562]",Ross River Airport |  | small_airport
56401,AU,"134.525485, -14.734814",Roper Bar Airport,small_airport,ROPER_BAR,134.525485,-14.734814,"[-14.734814, 134.525485]",Roper Bar Airport | ROPER_BAR | small_airport
56402,AU,"119.33300018310547, -23.108299255371094",Rhodes Ridge Airport,small_airport,,119.33300018310547,-23.108299255371094,"[-23.108299255371094, 119.33300018310547]",Rhodes Ridge Airport |  | small_airport
56403,AU,"135.64999389648438, -12.33329963684082",Raymangirr Airport,small_airport,,135.64999389648438,-12.33329963684082,"[-12.33329963684082, 135.64999389648438]",Raymangirr Airport |  | small_airport
56404,AU,"139.64999389648438, -25.83329963684082",Roseberth Airport,small_airport,,139.64999389648438,-25.83329963684082,"[-25.83329963684082, 139.64999389648438]",Roseberth Airport |  | small_airport
56405,AU,"151.024138927, -33.8300966368",Rosehill Heliport Airport,heliport,,151.024138927,-33.8300966368,"[-33.8300966368, 151.024138927]",Rosehill Heliport Airport |  | heliport
56406,AU,"128.62399291992188, -18.78860092163086",Ringer Soak Airport,small_airport,,128.62399291992188,-18.78860092163086,"[-18.78860092163086, 128.62399291992188]",Ringer Soak Airport |  | small_airport
56407,AU,"145.89999389648438, -27.13330078125",Rosevale Resort Airport,small_airport,,145.89999389648438,-27.13330078125,"[-27.13330078125, 145.89999389648438]",Rosevale Resort Airport |  | small_airport
56408,AU,"144.738333, -37.391667",Romsey Airport,small_airport,ROMSEY,144.738333,-37.391667,"[-37.391667, 144.738333]",Romsey Airport | ROMSEY | small_airport
56409,AU,"115.540001, -32.006699",Rottnest Island Airport,small_airport,,115.540001,-32.006699,"[-32.006699, 115.540001]",Rottnest Island Airport |  | small_airport
56410,AU,"141.84300231933594, -15.64330005645752",Rutland Plains Airport,small_airport,,141.84300231933594,-15.64330005645752,"[-15.64330005645752, 141.84300231933594]",Rutland Plains Airport |  | small_airport
56411,AU,"122.1500015258789, -22.549999237060547",Rudal River Airport,small_airport,,122.1500015258789,-22.549999237060547,"[-22.549999237060547, 122.1500015258789]",Rudal River Airport |  | small_airport
56412,AU,"148.97500610351562, -34.391700744628906",Rugby Airport,small_airport,,148.97500610351562,-34.391700744628906,"[-34.391700744628906, 148.97500610351562]",Rugby Airport |  | small_airport
56413,AU,"130.2169952392578, -17.899999618530273",Riveren Airport,small_airport,,130.2169952392578,-17.899999618530273,"[-17.899999618530273, 130.2169952392578]",Riveren Airport |  | small_airport
56414,AU,"125.19100189208984, -31.02519989013672",Rawlinna Station Airport,small_airport,,125.19100189208984,-31.02519989013672,"[-31.02519989013672, 125.19100189208984]",Rawlinna Station Airport |  | small_airport
56415,AU,"144.2830047607422, -34.63330078125",Ravensworth Airport,small_airport,,144.2830047607422,-34.63330078125,"[-34.63330078125, 144.2830047607422]",Ravensworth Airport |  | small_airport
