,Unnamed: 0,_id,AIRPORT,Year_Ended_December,Rank,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total,Doc_In_Pct
2806,2806.0,2807.0,PROSERPINE,2019.0,,1475.0,1470.0,2945.0,0.0,0.0,0.0,1475.0,1470.0,2945.0,0.0024317261958734845
2842,2842.0,2843.0,ROCKHAMPTON,2019.0,15.0,4713.0,4658.0,9371.0,0.0,0.0,0.0,4713.0,4658.0,9371.0,0.007769983431289309
2878,2878.0,2879.0,ROMA,2019.0,,1126.0,1124.0,2250.0,0.0,0.0,0.0,1126.0,1124.0,2250.0,0.0018563550485108768
2914,2914.0,2915.0,SUNSHINE COAST,2019.0,16.0,4409.0,4399.0,8808.0,63.0,62.0,125.0,4472.0,4461.0,8933.0,0.007268800540749961
2950,2950.0,2951.0,SYDNEY,2019.0,1.0,121019.0,121257.0,242276.0,40932.0,40936.0,81868.0,161951.0,162193.0,324144.0,0.1995153033887547
2986,2986.0,2987.0,TAMWORTH,2019.0,30.0,2511.0,2499.0,5010.0,0.0,0.0,0.0,2511.0,2499.0,5010.0,0.004139704730737844
3022,3022.0,3023.0,THURSDAY ISLAND,2019.0,23.0,2990.0,3015.0,6005.0,0.0,0.0,0.0,2990.0,3015.0,6005.0,0.004929397508923199
3058,3058.0,3059.0,TOOWOOMBA WELLCAMP,2019.0,,1542.0,1543.0,3085.0,50.0,50.0,100.0,1592.0,1593.0,3185.0,0.00254218426714367
3094,3094.0,3095.0,TOWNSVILLE,2019.0,10.0,12002.0,12055.0,24057.0,0.0,0.0,0.0,12002.0,12055.0,24057.0,0.019786832408727837
3130,3130.0,3131.0,WAGGA WAGGA,2019.0,20.0,3398.0,3398.0,6796.0,0.0,0.0,0.0,3398.0,3398.0,6796.0,0.005602037704120746
3166,3166.0,3167.0,WEIPA,2019.0,,776.0,776.0,1552.0,0.0,0.0,0.0,776.0,776.0,1552.0,0.0012793352732188637
3202,3202.0,3203.0,WHYALLA,2019.0,,2067.0,2062.0,4129.0,0.0,0.0,0.0,2067.0,2062.0,4129.0,0.0034077139300816893
3238,3238.0,3239.0,WOLLONGONG,2019.0,,622.0,860.0,1482.0,0.0,0.0,0.0,622.0,860.0,1482.0,0.0010254465720903778
