,Unnamed: 0,_id,AIRPORT,Year_Ended_December,Rank,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total,Doc_In_Pct,Doc_Out_Pct
2698,2698,2699,PORT HEDLAND,2019,,2381,2362,4743,51,51,102,2432,2413,4845,0.0039253830999150955,0.003896622377368576
2734,2734,2735,PORT LINCOLN,2019,19.0,3715,3711,7426,0,0,0,3715,3711,7426,0.006124652757742369,0.00612208536935427
2770,2770,2771,PORT MACQUARIE,2019,,2317,2315,4632,0,0,0,2317,2315,4632,0.0038198709124331277,0.0038190858609687774
2806,2806,2807,PROSERPINE,2019,,1475,1470,2945,0,0,0,1475,1470,2945,0.0024317261958734845,0.0024250782788873015
2842,2842,2843,ROCKHAMPTON,2019,15.0,4713,4658,9371,0,0,0,4713,4658,9371,0.007769983431289309,0.007684363689154456
2878,2878,2879,ROMA,2019,,1126,1124,2250,0,0,0,1126,1124,2250,0.0018563550485108768,0.0018542775411355965
2914,2914,2915,SUNSHINE COAST,2019,16.0,4409,4399,8808,63,62,125,4472,4461,8933,0.007268800540749961,0.007257087992398122
2950,2950,2951,SYDNEY,2019,1.0,121019,121257,242276,40932,40936,81868,161951,162193,324144,0.1995153033887547,0.20003926317213436
2986,2986,2987,TAMWORTH,2019,30.0,2511,2499,5010,0,0,0,2511,2499,5010,0.004139704730737844,0.004122633074108413
3022,3022,3023,THURSDAY ISLAND,2019,23.0,2990,3015,6005,0,0,0,2990,3015,6005,0.004929397508923199,0.004973885041391302
3058,3058,3059,TOOWOOMBA WELLCAMP,2019,,1542,1543,3085,50,50,100,1592,1593,3185,0.00254218426714367,0.002545507336274222
3094,3094,3095,TOWNSVILLE,2019,10.0,12002,12055,24057,0,0,0,12002,12055,24057,0.019786832408727837,0.019887291599990763
3130,3130,3131,WAGGA WAGGA,2019,20.0,3398,3398,6796,0,0,0,3398,3398,6796,0.005602037704120746,0.005605725164393912
3166,3166,3167,WEIPA,2019,,776,776,1552,0,0,0,776,776,1552,0.0012793352732188637,0.0012801773771541128
3202,3202,3203,WHYALLA,2019,,2067,2062,4129,0,0,0,2067,2062,4129,0.0034077139300816893,0.0034017084429017793
3238,3238,3239,WOLLONGONG,2019,,622,860,1482,0,0,0,622,860,1482,0.0010254465720903778,0.0014187532788048159
